ID|COUPONCODE|COUPONTYPE|CREATED_AT|CUSTOMERNAME|CUSTOMERREVIEW|GROSSMARGIN|ORDERTYPE|PAYMENTTYPE|AMOUNT|SERVINGTIME|TXNID|PRODUCT_ID|STORE_ID|CUSTOMER_ID
34778915|10%OFF|One-time Personal|2019-08-24 12:53:01.000000|Faith Sutherland|4|1.08|in-store|Paypal|8.08|377|WYA6GH744J|4179|8454|2861
34464730|5%OFF|National|2018-07-10 11:10:37.000000|Gavin Greene|1|0.12|mobile-app|Apple Pay|3.12|277|1PG8ZX9GYD|4184|8227|1592
35303772|BOGO|National|2019-08-17 07:26:51.000000|John Taylor|3|3.36|call-in|Cash|9.36|146|7FZ0MEA647|4031|8594|204
34614497|BOGO|Regional|2019-02-02 12:30:48.000000|Sebastian Powell|1|4.32|call-in|Cash|10.32|60|WD9AFAECYR|4007|8408|2309
33579950||One-time Personal|2019-07-19 08:37:30.000000|Christian Dickens|5|3.49|call-in|Cash|11.06|336|T0BXMAZ53H|4429|8920|2931
34072354|5%OFF|National|2019-05-17 09:14:36.000000|Rebecca Ellison|3|1.24|drive-thru|Apple Pay|3.24|173|OOIGVWPXOR|4080|8226|145
34560659|10%OFF|One-time Personal|2018-12-09 14:56:42.000000|Adrian Hunter|5|0.70|mobile-app|Stripe|5.70|481|TREFNI7DD5|4187|8338|2945
34208365|10%OFF|One-time Personal|2019-08-29 08:17:14.000000|Virginia Mitchell|3|0.46|call-in|Gift Card|2.46|468|S4YPRFGITE|4081|8370|1441
34524986||National|2018-10-31 16:51:55.000000|Keith Vaughan|3|0.32|in-store|Debit Card|2.32|82|BZ7P365E2G|4199|8244|2899
34976812|5%OFF|Regional|2018-09-13 15:33:15.000000|Cameron Lewis|2|0.84|call-in|Credit Card|7.84|67|QX7NGQJBLY|4040|8622|1805
34599502|10%OFF|One-time Personal|2019-01-18 08:25:18.000000|Thomas Kelly|5|1.74|mobile-app|Gift Card|7.74|312|9V1S42UQP0|4222|8242|860
36622844|BOGO|One-time Personal|2019-03-11 13:16:04.000000|Ava Piper|1|0.50|mobile-app|Cash|2.50|399|3EASP1P69Z|4113|8570|239
38065389|10%OFF|National|2018-05-16 16:37:43.000000|Eric Sharp|5|0.44|drive-thru|Credit Card|4.44|285|UFJ4EX2NLH|4351|8514|1409
38052777|5%OFF|Regional|2018-05-04 07:58:32.000000|Emily Stewart|3|0.12|drive-thru|Credit Card|1.12|533|6SARCPIX9T|4355|8520|925
34609536|10%OFF|National|2019-01-28 15:10:52.000000|Bernadette Jones|1|0.90|mobile-app|Stripe|6.90|573|0AU83ARQC3|4222|8493|2966
38181687|BUY5GET1|Multi-Use Personal|2018-08-21 17:27:19.000000|Katherine Dowd|4|0.44|mobile-app|Google Pay|4.44|464|01KNM5DO8G|4259|8521|226
34521775||Regional|2018-10-26 13:19:55.000000|Chloe Allan|3|2.98|mobile-app|Paypal|7.98|284|0WSKFZ0B27|4185|8433|3669
33867063|10%OFF|National|2018-11-17 07:34:17.000000|Sarah Dickens|3|0.00|drive-thru|Paypal|7.00|286|3IMUTREQRY|4090|8222|3459
33629352||Regional|2019-09-29 09:26:38.000000|Felicity Randall|4|5.18|mobile-app|Credit Card|9.49|585|WT7D92VVH2|4420|8044|775
34738332|5%OFF|Multi-Use Personal|2019-07-04 10:50:45.000000|Joe Greene|3|0.18|call-in|Cash|3.18|447|EAY0LDK34K|4184|8288|877
34753059||National|2019-07-23 09:35:17.000000|Steven Hemmings|5|0.03|drive-thru|Stripe|3.03|6|BAERJ0460U|4183|8108|976
38277545|10%OFF|Regional|2018-11-18 15:21:45.000000|Eric Murray|4|0.03|mobile-app|Debit Card|1.03|281|OV62SK0KNC|4271|8503|3268
37884997||One-time Personal|2019-07-03 13:27:37.000000|Kevin Newman|2|3.42|in-store|Stripe|6.42|504|NATJNKV4HZ|4064|8457|3251
37680401|BOGO|Multi-Use Personal|2018-06-29 17:51:15.000000|Austin Hill|4|2.65|in-store|Google Pay|5.65|494|MOMVXH6VG0|4070|8226|3383
37799384|10%OFF|Regional|2019-02-20 09:04:04.000000|Thomas Alsop|2|0.95|call-in|Paypal|5.95|437|CNU2HGDCFX|4068|8984|375
39162455||Regional|2018-08-25 12:56:01.000000|Diana Skinner|5|1.75|drive-thru|Apple Pay|5.75|353|HX09LGV3S7|4500|8238|267
36091936|5%OFF|Regional|2019-07-05 08:48:38.000000|Boris North|2|0.90|call-in|Gift Card|5.90|464|LOIG3X8VW0|4560|8721|3666
34163744||Regional|2019-07-27 11:57:19.000000|Evan Johnston|5|0.00|call-in|Gift Card|3.00|24|T34N2DFOWB|4083|8434|2081
34003725|10%OFF|Multi-Use Personal|2019-03-25 08:49:01.000000|Grace Martin|1|2.68|mobile-app|Credit Card|9.68|119|SBSBSE9UKW|4085|8321|2061
36929027||Multi-Use Personal|2018-02-14 14:41:30.000000|Nicholas Dyer|2|3.33|drive-thru|Apple Pay|6.64|385|R43QKLRHI2|4459|8034|2782
39260742||Regional|2019-01-26 09:19:35.000000|Claire Mathis|3|1.54|mobile-app|Gift Card|8.54|554|NPMEWK64B3|4509|8880|760
40135355|5%OFF|Multi-Use Personal|2019-09-21 12:21:21.000000|Carl Parr|3|0.85|drive-thru|Google Pay|5.85|195|PWS5RCYC0Z|4483|8160|3879
33484053|10%OFF|Regional|2019-02-03 06:07:47.000000|Robert Peters|5|3.22|mobile-app|Debit Card|10.79|525|4CYFP50KGU|4429|8061|411
34968276|BUY5GET1|Multi-Use Personal|2018-08-30 11:59:57.000000|Jake Kelly|4|1.45|drive-thru|Apple Pay|3.45|569|Q4PM35KHR5|4023|8675|459
34206771||One-time Personal|2019-08-28 10:31:59.000000|Sonia Hudson|5|1.48|mobile-app|Gift Card|8.48|302|F7RB9G624A|4085|8457|157
34504777|BOGO|Multi-Use Personal|2018-09-26 13:24:47.000000|Sebastian Rutherford|4|3.96|call-in|Stripe|8.96|595|BSUW0TCFIS|4185|8438|3063
33896357|10%OFF|One-time Personal|2018-12-15 17:43:46.000000|Sebastian Mitchell|2|0.52|call-in|Credit Card|2.52|163|FJHIO26VC6|4079|8541|1940
33866846|10%OFF|One-time Personal|2018-11-17 07:40:33.000000|Fiona Clarkson|3|0.54|call-in|Gift Card|2.54|515|VZGX6B2RYN|4081|8314|2441
33842803|BUY5GET1|One-time Personal|2018-10-23 14:24:19.000000|Carolyn Underwood|5|0.35|in-store|Stripe|7.35|260|ZYCP3E0KIJ|4086|8312|1212
39758140|5%OFF|Multi-Use Personal|2018-12-25 09:55:20.000000|Jan Ball|2|2.60|drive-thru|Gift Card|3.60|411|5WJ46U2UQG|4478|8224|1524
33873582|BUY5GET1|Regional|2018-11-22 17:57:42.000000|Colin Rees|5|1.05|mobile-app|Credit Card|8.05|472|TLZQBXPA5N|4090|8317|763
34105639|10%OFF|Multi-Use Personal|2019-06-11 15:13:49.000000|Heather Peters|5|1.12|drive-thru|Credit Card|8.12|90|2VURE2XTXG|4090|8484|3375
34234093|5%OFF|Multi-Use Personal|2019-09-17 15:15:54.000000|Katherine Quinn|1|0.07|in-store|Apple Pay|7.07|358|2AJBCS54S4|4089|8119|1653
36675037|5%OFF|One-time Personal|2019-05-06 15:27:37.000000|Stephen Dyer|2|1.32|mobile-app|Debit Card|8.32|550|I7WM1P2F59|4103|8043|555
34009397|5%OFF|One-time Personal|2019-03-30 07:42:29.000000|Megan Taylor|3|1.00|in-store|Stripe|3.00|402|TMMY0W00BQ|4080|8234|3815
33986246|10%OFF|National|2019-03-10 08:17:21.000000|Gabrielle Lawrence|3|0.72|drive-thru|Debit Card|3.72|372|MYXL4A79CH|4084|8317|1596
34583083|5%OFF|Regional|2019-01-01 08:04:13.000000|Anne McLean|1|0.28|mobile-app|Cash|7.28|499|J0LMDBMIAN|4208|8429|3483
39955064|BUY5GET1|Multi-Use Personal|2019-05-30 13:43:27.000000|Jasmine Thomson|5|0.90|mobile-app|Gift Card|5.90|323|TWHCAB4V1H|4497|8078|1303
38910180|10%OFF|One-time Personal|2018-11-13 10:21:52.000000|Anna Paterson|2|4.97|in-store|Apple Pay|7.87|348|QICRZQPT49|4472|8209|1822
34764742|10%OFF|National|2019-08-07 15:28:06.000000|Bernadette Clarkson|2|0.50|in-store|Debit Card|2.50|441|CSUFX86H44|4190|8515|2423
36898315|5%OFF|Multi-Use Personal|2017-10-29 08:44:23.000000|Zoe McLean|5|3.49|in-store|Gift Card|9.54|311|TRJGVEM4WA|4446|8833|937
33485398|10%OFF|One-time Personal|2019-02-06 06:14:20.000000|Stephanie Allan|3|3.69|in-store|Gift Card|8.00|599|C33SL35EN1|4420|8886|3857
34449571|BOGO|One-time Personal|2018-06-08 16:14:09.000000|Sarah Sharp|1|2.96|drive-thru|Paypal|4.96|557|RTVKSDHONK|4182|8473|966
34013385|BOGO|One-time Personal|2019-04-03 08:34:36.000000|Isaac Ferguson|1|0.33|in-store|Apple Pay|3.33|219|TS0H9Y4Q2A|4084|8302|3913
39923021|BOGO|National|2019-05-06 17:28:49.000000|Tim Russell|1|1.54|call-in|Cash|6.54|54|247AXLIHZW|4482|8525|3070
36080195|5%OFF|National|2019-07-01 21:11:29.000000|Adam Terry|4|0.29|call-in|Stripe|1.29|468|KMEACXY79W|4531|8701|96
34981824|BUY5GET1|Multi-Use Personal|2018-09-22 13:58:44.000000|David Black|1|1.40|in-store|Google Pay|8.40|262|UBN67YH8ET|4014|8576|2258
34731215|BOGO|One-time Personal|2019-06-24 14:52:52.000000|Maria Hodges|5|0.50|mobile-app|Cash|2.50|72|N4VNP85759|4205|8333|14
33748342|10%OFF|Multi-Use Personal|2018-06-25 07:10:23.000000|Jennifer Paterson|5|0.10|in-store|Apple Pay|2.10|272|AM3Z2FOMHT|4079|8383|1600
33635367|BOGO|Regional|2017-10-26 17:20:39.000000|Katherine Kerr|4|0.24|drive-thru|Paypal|2.24|588|UK8AQEXOOA|4081|8374|3130
34077123|BUY5GET1|Regional|2019-05-21 10:48:29.000000|Harry Bond|1|0.56|in-store|Gift Card|2.56|122|A2AJB3FMLT|4078|8382|3469
40031012|10%OFF|One-time Personal|2019-07-19 10:41:45.000000|Grace Dyer|2|0.27|mobile-app|Cash|3.27|83|Z2IJMV7PI0|4495|9000|3141
33296873|BUY5GET1|National|2018-11-18 13:48:04.000000|Carl McGrath|4|3.34|drive-thru|Stripe|5.73|335|RNVWK3P332|4156|8365|3314
33811622||One-time Personal|2018-09-18 11:22:58.000000|Carolyn Underwood|3|0.50|mobile-app|Stripe|2.50|18|6APG60Y6ED|4078|8403|1212
35287647|5%OFF|Regional|2019-08-08 14:05:41.000000|Adam Sharp|2|2.42|drive-thru|Paypal|6.42|78|2HS7E2SB0Z|4025|8568|2983
33754306|BOGO|Multi-Use Personal|2018-07-04 09:27:25.000000|David Paige|4|0.36|drive-thru|Stripe|2.36|107|XY6GTZPOXI|4081|8338|2333
34566733|10%OFF|One-time Personal|2018-12-15 07:45:49.000000|Carol Taylor|4|4.52|in-store|Gift Card|11.52|459|H44RGPCCV5|4206|8541|1394
33891576||One-time Personal|2018-12-11 12:58:27.000000|Hannah Morrison|3|1.12|drive-thru|Apple Pay|3.12|227|O1TTLYRZLI|4077|8362|354
33833925||Multi-Use Personal|2018-10-13 09:19:55.000000|Kimberly Hudson|1|0.00|call-in|Debit Card|7.00|280|A3SB2X5NPD|4087|8425|3255
37167896|BUY5GET1|National|2019-03-14 12:43:29.000000|Claire Parr|1|4.98|drive-thru|Paypal|12.70|33|7CKB96UAKR|4440|8096|301
35132898|5%OFF|Regional|2019-04-25 14:41:34.000000|Robert Brown|3|0.24|call-in|Cash|4.24|157|16D9KWZRKK|4026|8631|1258
34047447|BOGO|One-time Personal|2019-04-30 08:22:55.000000|Maria Welch|5|1.12|drive-thru|Google Pay|8.12|567|UF9H9U1JFC|4087|8245|1655
34643726||One-time Personal|2019-02-27 17:52:12.000000|Emma Henderson|1|0.00|call-in|Stripe|2.00|445|X6EEJMDDOK|4174|8341|1693
34481093|10%OFF|National|2018-08-13 10:05:33.000000|Claire Gill|1|0.25|in-store|Cash|1.25|363|ML2U7XK14E|4201|8097|2427
33784523|BOGO|One-time Personal|2018-08-16 15:31:19.000000|Adrian Quinn|3|1.27|in-store|Paypal|3.27|387|61PL2OWM2P|4076|8461|3153
37145214|BOGO|Multi-Use Personal|2019-02-14 14:24:12.000000|Harry James|4|3.96|call-in|Cash|7.19|178|Y6HO9ATEMB|4460|8451|2728
35276450|10%OFF|Multi-Use Personal|2019-07-31 13:22:34.000000|Brian Graham|3|2.48|drive-thru|Debit Card|8.48|554|WKEV7639H6|4028|8574|3110
34682363||National|2019-04-21 08:24:49.000000|Melanie Slater|2|0.06|drive-thru|Credit Card|3.06|527|OXXK0SDXOF|4198|8428|1946
35176537|BOGO|One-time Personal|2019-05-29 17:22:12.000000|Sarah North|1|0.01|in-store|Debit Card|1.01|524|IX9APTH8WA|4039|8668|1641
34571987||National|2018-12-21 07:13:01.000000|Alexander Lambert|2|1.05|mobile-app|Debit Card|8.05|173|VBH5ZL6CAJ|4005|8201|2177
33703752|BUY5GET1|National|2018-04-11 16:47:29.000000|Natalie Sharp|5|0.11|call-in|Gift Card|1.11|545|E9NGNTSUI5|4075|8199|256
34694733|BUY5GET1|Multi-Use Personal|2019-05-09 09:42:51.000000|Luke Bond|1|0.12|drive-thru|Credit Card|3.12|475|O8NB9TKEMD|4198|8204|3595
37116578|10%OFF|Regional|2019-01-10 07:39:04.000000|Rachel Morgan|4|5.40|drive-thru|Cash|11.45|244|TFLDY5D2FI|4446|8500|3029
37549661|BOGO|National|2019-06-13 16:29:12.000000|Steven Butler|1|0.42|call-in|Stripe|6.42|467|CS45892TOP|4375|8603|3981
39535972|10%OFF|Multi-Use Personal|2018-03-26 15:24:04.000000|Carl Peake|5|2.08|mobile-app|Google Pay|7.08|34|SAYGFVEAZT|4482|8126|435
34663411|BUY5GET1|Multi-Use Personal|2019-03-27 15:21:02.000000|Jan White|5|3.44|call-in|Gift Card|10.44|142|9BCTA98HG4|4218|8363|1746
34455130|BOGO|One-time Personal|2018-06-19 17:03:50.000000|Christopher Peters|2|0.87|call-in|Apple Pay|3.87|280|28KKZ8J8G3|4196|8372|2514
39836344|10%OFF|National|2019-02-27 12:53:33.000000|Emily Bailey|3|0.60|drive-thru|Stripe|5.60|311|GHOVUVJJRI|4483|8342|2199
34816460||National|2017-11-01 09:11:53.000000|Dylan Marshall|5|4.16|drive-thru|Gift Card|10.16|446|0E0BP5KSF7|4013|8580|3284
34841193||Multi-Use Personal|2018-01-26 14:58:54.000000|Caroline Arnold|3|0.36|mobile-app|Stripe|6.36|357|T3RSN31HAP|4015|8580|736
35861156|BOGO|Regional|2019-03-28 17:25:25.000000|Lisa Smith|1|1.20|mobile-app|Credit Card|2.20|517|4BGUSMF8YM|4543|8678|982
34827917|5%OFF|Regional|2017-12-16 17:26:40.000000|Deirdre Poole|3|0.54|call-in|Apple Pay|2.54|272|ZJEV9QR467|4024|8610|422
34789678||Regional|2019-09-05 17:27:11.000000|Kevin Ince|1|0.42|in-store|Paypal|6.42|440|CRC2VSES9O|4008|8355|842
35046797|BUY5GET1|Regional|2019-01-02 09:08:55.000000|Tracey MacLeod|5|0.84|mobile-app|Debit Card|4.84|331|LSOKV8HMCB|4027|8630|3748
35911796|10%OFF|One-time Personal|2019-05-02 19:39:53.000000|Simon Peters|4|0.30|drive-thru|Google Pay|3.30|163|V2IEXUKZVC|4536|8683|1496
34752159||Regional|2019-07-22 14:19:02.000000|Natalie Hodges|5|3.00|drive-thru|Google Pay|6.00|488|MXVAVGS8MX|4176|8423|3673
34720722|10%OFF|National|2019-06-10 09:37:33.000000|Cameron Graham|1|1.90|in-store|Debit Card|5.90|63|S1YSWN0M6T|4215|8365|3710
39035423||National|2019-09-27 08:58:20.000000|Piers Walsh|5|1.73|call-in|Debit Card|7.68|99|V5NTR59X5W|4474|8922|3441
33895261|5%OFF|Regional|2018-12-15 16:10:29.000000|Peter Nolan|5|1.30|in-store|Google Pay|2.30|378|5JS49WIBM7|4074|8487|2298
35104734|BUY5GET1|Regional|2019-03-25 11:17:48.000000|Bernadette Jones|2|0.40|mobile-app|Google Pay|8.40|163|5CPCW08CID|4017|8651|2966
33883616||Multi-Use Personal|2018-12-03 12:15:49.000000|Gordon King|4|1.54|drive-thru|Google Pay|3.54|237|YZKW6NQ28U|4077|8405|2920
33740578||One-time Personal|2018-06-12 17:20:30.000000|Bernadette Gill|4|0.42|in-store|Apple Pay|2.42|148|46KTL0VWGX|4079|8397|448
40064810|10%OFF|National|2019-08-11 08:05:01.000000|Peter Bailey|5|2.27|drive-thru|Cash|3.27|453|PHGFNDBORR|4478|8765|3761
34609478|BOGO|Multi-Use Personal|2019-01-28 15:28:34.000000|Molly Nash|3|0.88|drive-thru|Gift Card|4.88|367|LQCZ8W1RPP|4177|8524|3787
35234745|10%OFF|One-time Personal|2019-07-08 16:28:05.000000|Alexandra Howard|5|5.70|in-store|Stripe|12.70|25|H0QQ8E0XWW|4016|8666|1638
34634975|BOGO|Regional|2019-02-20 12:27:45.000000|Claire Forsyth|3|2.12|drive-thru|Credit Card|9.12|202|YIO3GGOWH6|4219|8239|2988
33926999|BUY5GET1|National|2019-01-15 13:12:32.000000|Oliver Vaughan|5|1.05|mobile-app|Debit Card|8.05|300|OSEGDM1JML|4090|8109|2799
34675524|10%OFF|Multi-Use Personal|2019-04-12 07:26:44.000000|Brandon Morrison|5|0.12|call-in|Gift Card|6.12|553|S0701MTGZ7|4222|8399|1071
34629068|BOGO|Regional|2019-02-16 12:48:32.000000|Sean Newman|3|0.63|mobile-app|Stripe|7.63|43|L9FEYGSD6K|4214|8299|954
37767447|5%OFF|National|2018-12-26 14:51:29.000000|Karen Lyman|4|2.35|drive-thru|Paypal|5.35|1|61SO2JX16O|4070|8091|1360
39972251||One-time Personal|2019-06-08 11:04:04.000000|Alan Manning|1|0.63|drive-thru|Stripe|3.63|148|AYA8EKB0MS|4491|8022|3220
33687210|10%OFF|One-time Personal|2018-03-15 09:47:19.000000|Madeleine Stewart|1|0.39|mobile-app|Paypal|3.39|153|Z3YEYRZQUV|4083|8483|2363
38647746||National|2019-07-11 13:57:15.000000|Jan Jackson|2|0.68|in-store|Stripe|4.68|416|A2S0XQPGSY|4324|8924|1599
35037857|BOGO|National|2018-12-20 15:26:23.000000|Anna Simpson|1|0.30|mobile-app|Apple Pay|6.30|495|GXQLDMNBLA|4036|8590|2399
34802351|BUY5GET1|Regional|2019-09-21 16:35:21.000000|Tracey Pullman|5|0.50|call-in|Gift Card|2.50|59|WYTGVMBLDP|4205|8316|3429
34054998||Multi-Use Personal|2019-05-03 17:46:34.000000|Audrey Terry|2|0.18|drive-thru|Google Pay|1.18|342|FLXPEDLHYJ|4075|8480|3061
33962904|BOGO|Regional|2019-02-16 17:07:19.000000|Vanessa Randall|4|0.91|mobile-app|Debit Card|7.91|253|PH86X5599A|4087|8337|3945
34422126||Regional|2018-04-03 07:22:10.000000|Victor Arnold|3|3.99|mobile-app|Debit Card|9.99|471|UQF8KQ7YDB|4209|8319|3694
34578913|5%OFF|One-time Personal|2018-12-28 15:11:39.000000|Joan Alsop|1|1.63|in-store|Credit Card|3.63|163|OMHF79X6AN|4197|8078|720
